Blog	questions	better	best	some	point	don	love	company	like	latest	episode	people	support	our	ll	via	other	help	product	work	years	design	search	my	ve	been	companies	time	once	why	year	watch	when	back	always	me	david	open	such	far	question	had	trump	really	their	donald	then	house	which	white	no	right	president	his	pretty	go	its	own	morning	comes	says	use	much	else	those	same	things	family	lead	often	so	case	put	tell	street	need	your	lot	even	many	while	doesn	most	home	does	bit	course	big	than	long	thing	down	do	too	any	being	get	least	building	re	just	very	way	where	want	say	sure	america	were	know	there	these	care	them	words	let	would	friends	talk	over	important	bad	will	because	d	night	who	anyone	think	system	he	public	life	try	private	after	old	here	everything	made	before	job	late	into	sometimes	if	internet	email	social	free	us	make	am	without	pay	stuff	asked	happy	data	past	nothing	two	first	still	continue	reading	business	might	site	m	facebook	never	ago	web	tech	york	well	did	going	china	got	last	list	easy	post	appeared	next	online	also	him	only	real	day	days	photos	may	art	must	matter	five	said	doing	though	probably	google	now	app	working	actually	number	used	service	see	idea	different	box	read	wouldn	using	group	b	each	another	both	find	around	store	place	full	name	something	game	lost	content	tools	isn	share	should	blog	thinking	top	little	won	create	businesses	features	week	amazon	youtube	comments	video	u	story	today	media	seen	future	major	yet	project	set	summer	calls	man	early	apple	products	buy	world	through	school	spend	available	could	information	needed	stories	study	her	went	found	makes	simple	million	recently	together	everyone	human	review	report	already	good	call	government	users	between	based	rights	done	making	less	under	example	country	able	look	along	twitter	news	told	off	give	learn	away	during	ways	feel	few	become	means	high	show	digital	cover	great	security	including	states	take	e	per	currently	head	move	united	three	th	again	car	left	six	ever	hard	experience	started	american	website	since	members	state	city	every	part	former	person	play	personal	hope	camera	platform	almost	plan	response	mobile	shows	page	come	looking	music	text	whether	second	coming	months	change	live	run	check	getting	however	team	health	start	didn	power	hours	someone	called	nbsp	according	smart	network	movie	com	light	against	kids	mind	kind	nearly	black	deal	half	women	bill	took	four	death	john	month	june	friend	moment	side	having	keep	enough	maybe	posts	she	line	happened	event	writing	thought	write	end	mean	money	instead	small	among	especially	times	came	original	short	book
WIL WHEATON dot NET	0	8	14	13	1	15	17	0	27	0	2	14	0	9	11	0	8	1	0	8	1	4	0	83	17	15	0	12	2	7	10	5	19	10	1	60	0	2	3	0	1	11	0	7	3	0	10	3	9	8	11	7	0	11	4	5	3	8	1	1	0	0	11	3	3	3	8	0	2	0	45	1	3	1	2	1	7	4	9	7	8	4	6	2	4	3	0	10	11	3	8	6	16	11	7	10	16	1	0	10	20	3	7	3	8	10	3	0	7	25	9	10	6	7	1	3	12	8	2	8	4	0	10	27	5	3	23	2	17	1	44	0	8	5	0	4	10	9	2	2	6	2	3	10	1	18	1	0	1	0	2	11	9	0	0	1	1	2	0	2	3	6	5	2	1	1	0	0	0	26	1	5	5	0	0	1	1	10	9	0	5	5	1	0	0	0	2	1	1	3	6	4	6	2	0	0	0	3	2	1	2	8	3	5	0	15	0	3	1	1	1	1	8	4	1	0	2	1	0	1	0	3	1	2	0	5	1	2	4	1	8	6	0	0	0	3	2	4	0	1	1	7	1	0	0	0	3	0	0	0	1	0	7	7	0	3	1	0	1	0	2	1	0	4	7	0	0	1	13	5	0	6	5	6	0	2	0	0	10	3	0	4	0	0	0	6	4	0	1	0	3	12	1	0	0	0	0	0	2	2	1	0	2	1	3	5	2	1	0	2	3	10	0	2	1	3	7	4	0	5	0	2	0	0	1	0	0	0	8	0	0	2	2	1	0	1	2	1	0	0	0	7	3	3	2	0	0	1	0	1	0	8	1	0	1	0	2	6	2	0	1	0	0	0	0	0	2	2	8	0	0	3	3	7	2	4	2	1	1	2	0	0	1	13	2	4	7	4	3	0	0	0	6	0	4	2	1	2	12	4	3	0	1	4	0	0	1	2	0	3	0	7	2	2	3	3	8	8	0	11	4	2	2	4	9	3	1	2	3	0	2	1	1	2	2	0	2	1
Autoblog	0	0	2	2	0	0	0	1	1	0	0	4	0	40	1	0	0	0	0	1	0	0	0	0	0	0	0	3	0	1	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	1	0	0	1	0	1	4	1	0	0	0	43	0	0	0	3	0	0	0	0	1	0	0	1	0	0	18	3	0	0	0	0	1	3	0	0	0	1	3	0	0	1	0	4	0	1	0	0	0	2	0	0	1	0	0	0	1	0	1	1	3	6	0	1	0	2	1	0	0	0	3	0	5	1	4	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	3	0	0	2	0	1	0	39	0	0	0	4	0	0	0	0	0	0	1	0	0	3	11	0	38	39	0	0	0	0	0	1	0	0	2	0	0	0	3	6	0	0	0	4	0	39	8	0	1	0	3	0	0	0	3	0	0	0	0	0	1	3	1	0	0	6	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	6	1	0	4	0	0	0	0	1	0	0	0	3	0	0	0	0	3	0	5	0	39	6	6	0	1	0	0	2	0	0	0	3	0	3	0	0	0	0	0	0	1	0	0	1	2	0	0	0	4	0	0	4	6	0	0	0	0	0	0	9	0	0	0	0	1	0	2	0	0	0	0	0	38	0	0	0	1	0	0	2	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	1	11	0	3	1	0	0	0	0	0	0	0	0	0	0	4	0	0	4	0	0	0	4	0	0	0	0	1	0	3	3	0	0	0	0	1	0	0	3	0	1	10	0	0	0	0	1	4	7	1	0	156	3	3	0	0	0	3	0	0	0	1	3	0	2	0	0	0	0	1	0	0	3	1	1	0	4	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	6	0	0
The Write News	0	0	0	0	0	2	0	2	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	5	0	1	5	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	2	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	15	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	1	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	0	3	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	15	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
blog maverick	0	1	0	3	0	2	1	1	2	0	0	1	0	3	0	0	1	0	0	0	0	0	0	4	0	2	1	2	0	1	2	0	3	2	0	2	0	1	0	0	1	1	2	0	1	0	1	0	1	0	3	2	2	0	0	3	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	1	0	0	0	0	0	4	2	0	0	3	0	1	0	1	0	0	0	0	2	0	0	0	0	0	1	2	1	4	0	0	1	0	1	1	0	0	0	2	0	1	0	0	0	1	1	1	0	1	4	0	0	0	0	0	0	2	0	0	0	0	2	0	2	1	1	1	1	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	2	1	0	2	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	3	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	2	0	0	0	1	0	2	1	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	3	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
Boing Boing	2	3	4	3	0	5	0	4	8	0	0	11	2	1	4	5	4	3	3	4	3	1	1	8	5	13	4	2	1	2	14	1	10	2	0	1	1	1	0	0	1	9	5	2	24	1	9	2	8	0	11	4	1	13	2	1	11	2	0	0	3	7	2	1	4	1	1	5	1	1	9	1	3	1	0	2	16	1	9	3	4	0	7	2	1	1	0	13	5	1	2	4	8	1	8	1	1	1	2	10	6	2	4	5	1	3	5	1	4	2	5	7	5	12	1	0	9	0	1	6	1	3	5	4	5	1	11	2	0	6	4	4	0	1	2	2	3	1	2	5	3	1	0	15	0	18	1	0	1	3	4	10	0	1	2	1	2	2	4	0	0	1	6	2	0	0	6	1	1	3	0	3	3	0	11	2	3	2	0	5	2	0	2	1	2	0	2	3	9	4	9	1	2	1	0	7	0	2	0	0	4	0	3	2	0	6	0	0	2	2	1	7	10	0	1	1	26	0	3	0	0	2	1	0	4	2	2	0	0	5	0	4	0	3	1	1	1	1	1	1	1	1	1	1	0	1	2	3	0	0	4	2	3	1	9	3	1	2	2	2	2	0	2	0	0	9	4	1	2	6	1	1	3	7	1	3	0	2	2	3	4	3	0	3	0	0	0	0	3	1	0	1	2	3	2	3	4	6	2	4	1	6	1	4	1	3	1	26	5	2	3	5	2	1	1	2	1	2	0	3	1	1	3	0	1	0	1	6	6	0	1	0	2	0	4	1	4	0	3	0	1	2	3	2	0	3	0	4	0	0	0	7	2	2	1	1	1	1	0	0	1	6	2	0	1	1	1	4	0	0	4	2	1	0	1	1	1	2	3	2	0	11	1	3	3	0	2	3	0	2	0	4	1	24	0	0	2	2	0	2	0	1	1	0	0	0	4	0	1	0	5	0	1	0	1	3	3	2	0	2	1	1	0	0	1	0	3	1	4	2	2	1	0	3	3	1	0	1
BuzzMachine	0	0	0	0	0	0	0	1	2	0	0	0	0	4	1	0	3	0	0	1	0	0	0	3	4	3	3	0	0	0	1	0	2	0	0	4	0	0	0	0	0	0	5	0	3	1	3	1	1	0	5	2	0	4	0	2	2	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	1	1	0	1	0	2	0	1	0	0	0	1	1	0	0	0	0	0	1	2	0	0	0	4	2	1	1	0	1	0	0	0	0	2	1	0	2	1	0	1	0	2	0	2	1	3	2	1	0	6	0	2	0	0	1	0	1	0	1	1	2	0	1	0	2	0	0	0	1	9	0	1	0	3	2	2	2	0	0	1	0	3	0	0	0	15	1	0	1	0	1	0	4	9	0	0	0	0	3	0	0	0	0	0	2	0	0	15	15	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	1	0	4	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	6	1	11	1	0	0	0	0	2	0	0	0	0	0	0	0	5	1	2	0	0	1	0	0	1	1	0	0	1	0	0	0	1	0	3	1	2	2	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	7	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	1	3	0	0	0	1	0	1	1	1	0	2	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	2	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	1	0	1	1	0	0	0	2	0	0	0	2
Captain's Quarters	0	0	1	1	0	0	1	0	0	3	0	0	0	0	0	0	2	0	0	1	2	0	0	2	0	2	0	1	1	0	0	0	2	2	0	2	0	0	0	0	0	3	0	0	6	0	0	0	0	0	1	0	0	6	0	0	3	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	2	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0	1	1	0	1	5	0	0	0	1	0	0	3	6	1	0	0	0	3	0	0	0	0	0	0	0	2	0	1	0	0	0	0	3	0	0	0	0	0	0	1	0	1	1	0	2	1	0	0	0	0	1	0	0	0	1	0	0	0	1	3	0	0	1	0	0	0	1	0	1	0	2	1	1	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	4	2	1	1	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	1	1	0	1	1	1	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1	0	2	0	0	0	0	2	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
COOL HUNTING	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	5	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	1	0	2	0	0	2	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	1	0	2	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	0	0	2	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	3	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	2	1	1	0	1	0	1	1	0	2	0	0	0	2	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Copyblogger	0	1	2	1	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	2	2	0	0	2	3	0	0	2	0	2	0	0	2	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	13	0	3	0	1	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	3	0	0	1	0	2	1	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	3	1	0	0	2	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	3	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	1	10	2	10	10	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	12	0	0	0	1	2	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	2	0	1	1	0	0	0	0	0	1	0	0	0	0	0
Latest from Crooks and Liars	3	0	0	5	0	4	1	0	4	0	0	3	0	1	1	0	2	0	0	3	3	0	0	1	2	2	0	3	1	4	1	0	3	1	1	3	1	1	0	1	2	0	7	0	3	0	1	6	3	3	1	1	11	10	0	4	0	1	0	1	0	0	5	2	2	0	4	0	0	1	4	0	0	1	1	1	1	3	3	2	0	0	0	0	0	0	1	0	2	1	1	2	8	1	0	1	2	1	0	4	4	1	2	0	3	3	0	1	0	4	6	2	1	0	0	1	3	0	1	1	1	1	5	2	2	2	9	1	2	0	11	0	2	0	1	0	0	2	0	1	0	0	0	1	0	2	0	0	0	1	5	0	0	4	0	0	2	0	0	0	2	2	2	0	0	0	1	0	0	0	0	2	1	0	0	1	1	11	0	0	3	0	0	0	2	0	1	1	2	2	1	1	0	0	0	0	0	0	0	0	9	0	0	1	0	4	0	1	0	0	1	0	1	1	1	0	6	2	0	0	0	1	1	1	1	0	0	0	0	1	1	0	0	4	0	0	0	5	2	0	0	0	2	0	0	0	1	0	0	0	0	0	1	3	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	3	0	0	0	3	0	0	0	0	1	0	0	0	1	0	0	1	2	0	0	0	1	1	1	2	0	1	0	1	1	1	2	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	3	2	0	0	0	3	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	2	1	4	1	1	0	1	0	0	3	0	1	0	4	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	1	0	0	0	2	1	0	0	0	2	0	0	0	0	0	5	0	0	0	0	0	0	0	0	1	0	2	2	0	0	0	0	0	2
Deadspin	0	1	4	0	2	2	0	0	2	0	0	1	0	1	0	0	1	0	0	0	2	0	1	0	1	3	0	2	0	0	4	0	0	0	0	1	2	0	1	0	0	1	0	2	8	0	1	0	1	0	2	2	1	7	0	0	1	2	0	1	1	0	0	0	1	0	0	2	2	0	1	1	1	0	0	0	2	2	1	1	2	0	0	2	0	0	0	1	3	2	1	1	1	0	1	1	0	0	0	1	6	1	0	0	1	0	0	0	2	0	1	1	1	1	0	0	0	0	0	3	0	0	3	1	0	1	6	0	0	0	3	0	0	0	0	6	2	0	0	0	2	1	0	2	0	1	0	0	0	3	0	4	0	0	0	0	0	0	0	1	0	3	5	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	2	0	2	2	0	1	0	0	0	0	1	2	4	0	2	1	0	0	0	0	0	1	0	0	0	0	0	3	0	1	0	0	0	0	1	0	0	2	20	0	0	0	0	0	2	0	0	2	0	0	1	0	1	7	0	0	3	1	0	0	0	1	0	0	2	0	0	0	0	2	0	0	0	0	1	2	0	0	0	1	1	0	0	0	0	4	0	0	1	1	4	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	4	1	0	0	0	1	0	1	0	3	0	2	0	0	0	0	0	0	0	0	6	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	2	1	1	1	1	0	0	0	0	0	0	0	0	0	4	2	1	0	2	1	3	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	4	0	0	0	0	1	0	0	0	1	0	2	1	1	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	1	0	1	1	0	2	0	2	3	2	1	0	1	0	1	1	0	0	0	2	1	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0
Tech	0	0	0	1	0	1	0	7	1	0	0	2	0	1	0	0	1	0	1	0	0	0	0	0	0	2	0	2	1	0	3	0	0	1	0	0	0	0	0	2	0	1	0	0	3	0	0	0	1	2	3	2	0	0	0	0	4	1	0	0	2	0	1	0	0	0	0	1	0	0	1	0	1	1	1	0	0	1	0	3	0	0	0	0	0	0	0	0	2	0	0	4	0	1	1	1	0	0	0	1	1	0	1	0	1	2	0	0	2	0	0	0	0	2	0	1	1	1	0	1	0	2	0	0	0	0	3	0	0	1	0	1	0	0	0	6	1	1	0	1	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	3	0	1	0	2	0	1	0	1	0	0	0	0	4	0	0	0	6	2	4	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7	0	3	1	0	0	2	0	0	0	1	0	1	0	1	0	0	2	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	5	0	0	1	1	0	2	0	2	0	0	7	1	0	2	0	0	0	0	0	0	1	0	1	3	3	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	1	0	0	0	2	1	1	0	0	1	0	0	0	0	0	0	2	1	0	0	0	3	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
Engadget RSS Feed	0	0	2	1	0	1	0	8	0	0	0	1	0	2	0	0	1	2	0	1	2	0	2	1	1	1	0	1	1	0	0	0	3	2	0	3	0	1	0	1	2	0	2	1	2	0	1	2	0	0	2	0	0	0	1	1	11	0	2	0	0	1	0	0	1	0	1	1	0	0	3	0	0	1	0	1	3	0	1	3	1	0	1	0	0	0	0	2	2	1	2	1	1	0	0	0	1	1	0	6	2	0	3	0	1	0	0	0	2	1	2	0	0	1	0	0	2	0	0	4	2	0	1	0	0	1	2	0	2	0	0	0	1	1	0	3	0	0	0	0	1	0	1	2	0	3	0	1	0	0	1	6	0	0	3	0	1	0	1	0	0	0	2	1	0	0	0	1	0	1	3	0	1	0	0	3	1	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	1	3	7	4	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	2	2	1	2	1	0	0	1	2	0	1	0	0	1	3	0	0	1	1	1	0	0	0	0	0	2	0	0	0	0	4	1	0	0	1	0	0	2	1	0	1	0	3	0	1	4	1	0	0	4	1	0	0	0	1	0	0	0	1	0	3	0	0	0	2	0	1	1	2	0	2	2	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	3	1	1	0	0	1	0	1	2	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	4	0	1	0	0	0	0	1	0	2	0	3	0	2	0	0	2	0	1	0	0	2	0	0	3	1	2	1	1	0	1	0	0	1	2	1	1	1	0	1	1	0	2	0	0	0	1	0	0	0	0	1	1	0	0	2	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1
Gapingvoid	0	0	1	2	0	2	1	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	2	0	0	0	0	0	6	0	0	0	0	0	2	0	0	0	0	1	0	1	2	0	3	0	0	0	0	0	0	3	3	1	1	0	3	0	0	0	0	2	3	1	0	0	2	0	0	1	0	0	1	0	0	0	0	0	1	1	1	0	2	0	3	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	1	0	2	0	0	0	0	10	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	5	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
